"layer","level","class","id","metric","value","areasqkm"
1,"patch",1,603,"area",0.01,1e-04
1,"patch",1,604,"area",0.02,2e-04
1,"patch",1,605,"area",0.37,0.0037
1,"patch",1,606,"area",0.01,1e-04
1,"patch",1,607,"area",0.01,1e-04
1,"patch",1,608,"area",0.03,3e-04
1,"patch",1,609,"area",0.01,1e-04
1,"patch",1,610,"area",0.01,1e-04
1,"patch",1,611,"area",0.01,1e-04
1,"patch",1,612,"area",0.01,1e-04
1,"patch",1,613,"area",0.01,1e-04
1,"patch",1,614,"area",0.01,1e-04
1,"patch",1,615,"area",0.11,0.0011
1,"patch",1,616,"area",0.09,9e-04
1,"patch",1,617,"area",0.13,0.0013
1,"patch",1,618,"area",1.61,0.0161
1,"patch",1,619,"area",59.01,0.5901
1,"patch",1,620,"area",0.01,1e-04
1,"patch",1,621,"area",0.02,2e-04
1,"patch",1,622,"area",0.01,1e-04
1,"patch",1,623,"area",0.19,0.0019
1,"patch",1,624,"area",13.58,0.1358
1,"patch",1,625,"area",0.01,1e-04
1,"patch",1,626,"area",0.01,1e-04
1,"patch",1,627,"area",0.01,1e-04
1,"patch",1,628,"area",2.03,0.0203
1,"patch",1,629,"area",0.01,1e-04
1,"patch",1,630,"area",0.04,4e-04
1,"patch",1,631,"area",0.01,1e-04
1,"patch",1,632,"area",0.01,1e-04
