"layer","level","class","id","metric","value","coreareasqkm"
1,"patch",1,598,"core",0,0
1,"patch",1,599,"core",0,0
1,"patch",1,600,"core",0,0
1,"patch",1,601,"core",0,0
1,"patch",1,602,"core",0,0
1,"patch",1,603,"core",0,0
1,"patch",1,604,"core",0,0
1,"patch",1,605,"core",0,0
1,"patch",1,606,"core",0,0
1,"patch",1,607,"core",0,0
1,"patch",1,608,"core",0,0
1,"patch",1,609,"core",0,0
1,"patch",1,610,"core",0,0
1,"patch",1,611,"core",0,0
1,"patch",1,612,"core",0,0
1,"patch",1,613,"core",0,0
1,"patch",1,614,"core",0,0
1,"patch",1,615,"core",0,0
1,"patch",1,616,"core",0,0
1,"patch",1,617,"core",0,0
1,"patch",1,618,"core",30.06,0.3006
1,"patch",1,619,"core",0,0
1,"patch",1,620,"core",0,0
1,"patch",1,621,"core",0,0
1,"patch",1,622,"core",0,0
1,"patch",1,623,"core",0,0
1,"patch",1,624,"core",0,0
1,"patch",1,625,"core",0,0
1,"patch",1,626,"core",0,0
1,"patch",1,627,"core",0,0
1,"patch",1,628,"core",0,0
1,"patch",1,629,"core",0,0
1,"patch",1,630,"core",0,0
1,"patch",1,631,"core",0,0
1,"patch",1,632,"core",0,0
1,"patch",1,633,"core",0,0
1,"patch",1,634,"core",0,0
1,"patch",1,635,"core",0,0
1,"patch",1,636,"core",9.14,0.0914
1,"patch",1,637,"core",0,0
1,"patch",1,638,"core",0,0
1,"patch",1,639,"core",0,0
1,"patch",1,640,"core",0,0
1,"patch",1,641,"core",344.78,3.4478
1,"patch",1,642,"core",0,0
1,"patch",1,643,"core",0,0
1,"patch",1,644,"core",0,0
1,"patch",1,645,"core",0,0
1,"patch",1,646,"core",0,0
1,"patch",1,647,"core",0,0
1,"patch",1,648,"core",0,0
1,"patch",1,649,"core",0,0
1,"patch",1,650,"core",0,0
1,"patch",1,651,"core",0,0
1,"patch",1,652,"core",0,0
1,"patch",1,653,"core",0,0
1,"patch",1,654,"core",0,0
1,"patch",1,655,"core",0,0
1,"patch",1,656,"core",3.76,0.0376
1,"patch",1,657,"core",0,0
1,"patch",1,658,"core",0,0
1,"patch",1,659,"core",0,0
1,"patch",1,660,"core",0,0
1,"patch",1,661,"core",0,0
1,"patch",1,662,"core",0,0
1,"patch",1,663,"core",9.21,0.0921
1,"patch",1,664,"core",0,0
1,"patch",1,665,"core",0,0
1,"patch",1,666,"core",0,0
1,"patch",1,667,"core",0,0
1,"patch",1,668,"core",0,0
1,"patch",1,669,"core",0,0
1,"patch",1,670,"core",0,0
1,"patch",1,671,"core",0,0
1,"patch",1,672,"core",0,0
1,"patch",1,673,"core",0,0
1,"patch",1,674,"core",0,0
1,"patch",1,675,"core",2.77,0.0277
1,"patch",1,676,"core",0,0
1,"patch",1,677,"core",0,0
1,"patch",1,678,"core",0,0
1,"patch",1,679,"core",0,0
1,"patch",1,680,"core",0,0
1,"patch",1,681,"core",0,0
1,"patch",1,682,"core",529.55,5.2955
1,"patch",1,683,"core",0,0
1,"patch",1,684,"core",7.6,0.076
1,"patch",1,685,"core",0,0
1,"patch",1,686,"core",0,0
1,"patch",1,687,"core",0,0
1,"patch",1,688,"core",0,0
1,"patch",1,689,"core",0,0
1,"patch",1,690,"core",0,0
1,"patch",1,691,"core",0,0
1,"patch",1,692,"core",0,0
1,"patch",1,693,"core",0,0
1,"patch",1,694,"core",0,0
1,"patch",1,695,"core",0,0
1,"patch",1,696,"core",0,0
1,"patch",1,697,"core",0,0
1,"patch",1,698,"core",0,0
1,"patch",1,699,"core",0,0
1,"patch",1,700,"core",0,0
1,"patch",1,701,"core",1075.88,10.7588
1,"patch",1,702,"core",0,0
1,"patch",1,703,"core",0,0
1,"patch",1,704,"core",0,0
1,"patch",1,705,"core",0,0
1,"patch",1,706,"core",0,0
1,"patch",1,707,"core",0,0
1,"patch",1,708,"core",0,0
1,"patch",1,709,"core",22.17,0.2217
1,"patch",1,710,"core",0,0
1,"patch",1,711,"core",0,0
1,"patch",1,712,"core",0,0
1,"patch",1,713,"core",0,0
1,"patch",1,714,"core",0,0
1,"patch",1,715,"core",14.2,0.142
