"layer","level","class","id","metric","value","prop_edge"
1,"patch",1,633,"cai",0,100
1,"patch",1,634,"cai",0,100
1,"patch",1,635,"cai",0,100
1,"patch",1,636,"cai",15.6721536351166,84.3278463648834
1,"patch",1,637,"cai",0,100
1,"patch",1,638,"cai",0,100
1,"patch",1,639,"cai",0,100
1,"patch",1,640,"cai",0,100
1,"patch",1,641,"cai",37.1342100444818,62.8657899555182
1,"patch",1,642,"cai",0,100
1,"patch",1,643,"cai",0,100
1,"patch",1,644,"cai",0,100
1,"patch",1,645,"cai",0,100
1,"patch",1,646,"cai",0,100
1,"patch",1,647,"cai",0,100
1,"patch",1,648,"cai",0,100
1,"patch",1,649,"cai",0,100
1,"patch",1,650,"cai",0,100
1,"patch",1,651,"cai",0,100
1,"patch",1,652,"cai",0,100
1,"patch",1,653,"cai",0,100
1,"patch",1,654,"cai",0,100
1,"patch",1,655,"cai",0,100
1,"patch",1,656,"cai",9.05151661049591,90.9484833895041
1,"patch",1,657,"cai",0,100
1,"patch",1,658,"cai",0,100
1,"patch",1,659,"cai",0,100
1,"patch",1,660,"cai",0,100
1,"patch",1,661,"cai",0,100
1,"patch",1,662,"cai",0,100
1,"patch",1,663,"cai",29.0444654683065,70.9555345316935
1,"patch",1,664,"cai",0,100
1,"patch",1,665,"cai",0,100
1,"patch",1,666,"cai",0,100
1,"patch",1,667,"cai",0,100
1,"patch",1,668,"cai",0,100
1,"patch",1,669,"cai",0,100
1,"patch",1,670,"cai",0,100
1,"patch",1,671,"cai",0,100
1,"patch",1,672,"cai",0,100
1,"patch",1,673,"cai",0,100
1,"patch",1,674,"cai",0,100
1,"patch",1,675,"cai",14.0395337050177,85.9604662949823
1,"patch",1,676,"cai",0,100
1,"patch",1,677,"cai",0,100
1,"patch",1,678,"cai",0,100
1,"patch",1,679,"cai",0,100
1,"patch",1,680,"cai",0,100
1,"patch",1,681,"cai",0,100
1,"patch",1,682,"cai",61.6551595664171,38.3448404335829
1,"patch",1,683,"cai",0,100
1,"patch",1,684,"cai",25.7801899592944,74.2198100407056
1,"patch",1,685,"cai",0,100
1,"patch",1,686,"cai",0,100
1,"patch",1,687,"cai",0,100
1,"patch",1,688,"cai",0,100
1,"patch",1,689,"cai",0,100
1,"patch",1,690,"cai",0,100
1,"patch",1,691,"cai",0,100
1,"patch",1,692,"cai",0,100
1,"patch",1,693,"cai",0,100
1,"patch",1,694,"cai",0,100
1,"patch",1,695,"cai",0,100
1,"patch",1,696,"cai",0,100
1,"patch",1,697,"cai",0,100
1,"patch",1,698,"cai",0,100
1,"patch",1,699,"cai",0,100
1,"patch",1,700,"cai",0,100
1,"patch",1,701,"cai",61.7792809605568,38.2207190394432
1,"patch",1,702,"cai",0,100
1,"patch",1,703,"cai",0,100
1,"patch",1,704,"cai",0,100
1,"patch",1,705,"cai",0,100
1,"patch",1,706,"cai",0,100
1,"patch",1,707,"cai",0,100
1,"patch",1,708,"cai",0,100
1,"patch",1,709,"cai",19.938843421171,80.061156578829
1,"patch",1,710,"cai",0,100
1,"patch",1,711,"cai",0,100
1,"patch",1,712,"cai",0,100
1,"patch",1,713,"cai",0,100
1,"patch",1,714,"cai",0,100
1,"patch",1,715,"cai",27.5835275835276,72.4164724164724
1,"patch",1,716,"cai",0,100
1,"patch",1,717,"cai",0,100
1,"patch",1,718,"cai",0,100
