"LCP_ID","Biomass_mean","Biomass_min","Biomass_max","Biomass_range","Origin","Cost","elevation_mean","elevation_min","elevation_max","elevation_range","slope_mean","slope_min","slope_max","slope_range","nPA","Start","PAareasqkm","LCP_areasqkm","pct_protected","nTotalRoads","nPrimaria","nSecundaria","nOtherRoads","nForestPatches","nAgPatches","pct_forest","pct_ag","LCP_density_min","LCP_density_max","LCP_density_median","LCP_density_mean","LCP_density_range","nIntersectingCorridors","LCP_pct_overlap","LCP_pct_unique","LCP_length_km","nTotalRoads_perkm","nForestPatches_perkm","nAgPatches_perkm"
"terraba_sierpe1_LCP_top5_3",73.0801037609288,1.89638984203339,168.731658935547,166.835269093513,"terraba_sierpe1_LCP_top5",16.4388046301769,548.5293445165,-22.0263290405273,1582.73742675781,1604.76375579834,12.085965465727,3.97569339823689e-16,63.8071212768555,63.8071212768555,7,"TS1",77.6318862311949,220.946274309426,35.1360920087183,192,5,12,175,330,1435,71.9782673399058,17.9678521957799,4,19,6,7.51538461538462,15,37,100,0,125.004603722078,1.5359434315465,2.63990277297055,11.4795772097356
"terraba_sierpe1_LCP_top5_4",73.5469487350176,1.89638984203339,145.84391784668,143.947528004646,"terraba_sierpe1_LCP_top5",16.5777322437751,558.543619699048,-22.0263290405273,1685.35388183594,1707.38021087646,11.6359696862759,3.97569339823689e-16,60.7388458251953,60.7388458251953,6,"TS1",79.0153442209701,209.936133289714,37.6378010696844,172,5,13,154,304,1242,70.925475127485,18.9782479917439,4,32,10,10.3228346456693,28,39,100,0,117.436276456209,1.46462409393691,2.58863793346989,10.5759483992421
"terraba_sierpe1_LCP_top5_5",74.1380291174556,1.89638984203339,145.84391784668,143.947528004646,"terraba_sierpe1_LCP_top5",16.7112813403056,572.642864038766,-22.0263290405273,1654.63916015625,1676.66548919678,11.7301218919923,3.97569339823689e-16,60.7388458251953,60.7388458251953,6,"TS1",82.4986379246618,215.932687354506,38.2057200025581,172,5,13,154,300,1252,71.669603104567,18.6140877939485,4,32,8,10.2519083969466,28,39,100,0,120.244581647867,1.43041788364068,2.49491491332676,10.412111571617
"terraba_sierpe1_LCP_top5_6",72.5788697066391,1.89638984203339,145.84391784668,143.947528004646,"terraba_sierpe1_LCP_top5",16.6292838018377,475.381641331831,-22.0263290405273,1702.84680175781,1724.87313079834,12.493051408284,3.97569339823689e-16,65.2428131103516,65.2428131103516,5,"TS1",75.7455135813842,210.130148260507,36.0469519525962,99,5,9,85,273,1305,71.4585704350454,20.6409219995547,4,32,14,10.7674418604651,28,36,100,0,117.727444876166,0.840925411267823,2.31891552804157,11.0849258758031
"terraba_sierpe1_LCP_top5_7",60.1796385615164,1.63499999046326,154.191452026367,152.556452035904,"terraba_sierpe1_LCP_top5",16.8178072427485,500.553071683908,-12.9207649230957,1804.85375976562,1817.77452468872,15.1692592643914,0,63.5567436218262,63.5567436218262,3,"TS1",6.5645920712187,150.336818791796,4.36658971765933,191,5,NA,186,268,878,59.2232167179919,30.9598808688774,1,5,1,1.12765957446809,4,4,2.8,97.2,79.5830713502224,2.40000790066852,3.36755035277048,11.0324970512406
"terraba_sierpe2_LCP_top5_10",80.2007239426042,5.81228685379028,154.863327026367,149.051040172577,"terraba_sierpe2_LCP_top5",8.88319143000756,810.071629859361,-1.55427694320679,1698.74536132812,1700.29963827133,13.4492733740377,9.93923349559222e-17,63.3632354736328,63.3632354736328,5,"TS2",22.5167700241871,160.024260207892,14.0708477545435,124,1,7,116,254,1010,74.3802844927195,18.1628085405556,5,32,15,13.53125,27,38,100,0,92.938903089896,1.33420985053008,2.73297824221485,10.8673544277047
"terraba_sierpe2_LCP_top5_11",78.6372044277968,8.55594635009766,154.863327026367,146.30738067627,"terraba_sierpe2_LCP_top5",8.78595200065645,694.902947457186,-1.55427694320679,1702.84680175781,1704.40107870102,14.5046234262702,9.93923349559222e-17,65.2428131103516,65.2428131103516,4,"TS2",15.7658011911963,154.323542437379,10.2160700449147,51,1,3,47,224,1079,74.1800623494968,20.9203984629244,5,32,15,14.1276595744681,27,31,100,0,85.4589534801014,0.596777726887037,2.62114138868032,12.6259444570807
"terraba_sierpe2_LCP_top5_12",80.104007627731,8.55594635009766,154.863327026367,146.30738067627,"terraba_sierpe2_LCP_top5",9.59756881652909,757.570777039317,-1.55427694320679,1930.6533203125,1932.20759725571,14.5844542390656,9.93923349559222e-17,65.2428131103516,65.2428131103516,4,"TS2",27.2982867678645,167.529701995504,16.2945951927958,51,1,3,47,225,1090,75.3444305675346,20.1511132640265,5,32,15,13.495145631068,27,31,100,0,88.2672586717586,0.577790686687743,2.54907655891651,12.3488597743067
"terraba_sierpe2_LCP_top5_8",79.8503488544834,5.81228685379028,154.863327026367,149.051040172577,"terraba_sierpe2_LCP_top5",8.70547104839055,822.96243403803,-1.55427694320679,1698.74536132812,1700.29963827133,13.396133773357,9.93923349559222e-17,63.3632354736328,63.3632354736328,5,"TS2",17.2798136460258,164.993335832166,10.4730373253397,148,1,6,141,273,1171,74.4994331922808,17.4574929676551,3,32,10,11.5656565656566,29,38,100,0,85.778220267006,1.72537970057333,3.18262606930081,13.651483982239
"terraba_sierpe2_LCP_top5_9",79.6316097695599,5.81228685379028,154.863327026367,149.051040172577,"terraba_sierpe2_LCP_top5",8.74964233347704,799.99976108614,-1.55427694320679,1698.74536132812,1700.29963827133,13.3871652627028,9.93923349559222e-17,63.3632354736328,63.3632354736328,5,"TS2",19.0334763204954,154.027706143101,12.357177028146,124,1,7,116,258,1000,73.4715869201231,18.6415812576757,5,32,15,13.7717391304348,27,38,100,0,92.6703436358421,1.33807640216886,2.78406219160941,10.7909387271683
